Species_name	Subfam	Tribe	DIAM	DEN	VEL	FL	RH	MPH	CL	GF	SOL	MT	MUL	VD	T	FT	LF	GTT	SEP	VCT	AP	APOPARA	DIF	DIA	BAN	SCA	VAS	RW	PC	PCP	MI	CV	LA
Acokanthera_oblongifolia	RAU	Car	40	33	500	1300	290	6	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	ThinThick	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Adenium_obesum	APO	Ner	50	7	350	NA	450	6	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Apo+Para	Absent	Present	Absent	Present	Absent	Uni	Absent	Absent	Absent	Present	Absent
Aganosma_cymosa	APO	Apo	115	31	525	1070	500	10	Present	Climbing	Present	Absent	Absent	Absent	Present	Absent	Present	T+LF	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Absent
Allomarkgrafia_brenesiana	APO	Mes	100	39	430	NA	330	4	Present	Climbing	Present	CL	Present	Present	Absent	Absent	Present	LF	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni+Multi	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Present
Allomarkgrafia_plumeriiflora	APO	Mes	110	37	310	500	980	25	Present	Climbing	Present	CL	Present	Present	Absent	Absent	Present	LF	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Absent	Absent	Absent	Absent	Present
Alstonia_scholaris	RAU	Als	80	8	930	1870	268	60	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Absent	Present	Absent	Absent	Multi	Present	AxialParenchyma	Various	Absent	Present
Alyxia_spicata	RAU	Aly	100	26	430	730	390	2	Present	Climbing	Present	Absent	Absent	Absent	Present	Absent	Absent	T	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni+Multi	Absent	Absent	Absent	Absent	Present
Ambelania_acida	RAU	Tab	60	10	1030	1940	710	25	Absent	Erect	Absent	RM	Present	Absent	Absent	Present	Absent	FT	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Amphineurion_marginatum	APO	Apo	95	20	380	760	745	8	Present	Climbing	Present	RM	Present	Present	Present	Absent	Present	T+LF	Absent	Thin	Present	Apo+Para	Absent	Present	Present	Present	Absent	Multi	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Absent
Anodendron_parviflorum	APO	Apo	100	40	500	940	540	20	Present	Climbing	Absent	CL	Present	Present	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Present	Present
Apocynum_cannabinum	APO	Apo	40	33	270	400	180	2	Absent	Erect	Present	Absent	Absent	Absent	Absent	Absent	Present	LF	Absent	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Absent	Absent	Absent	Absent	Absent
Asclepias_curassavica	ASC	Asc	35	32	310	420	500	2	Absent	Erect	Present	RM	Present	Absent	Absent	Present	Absent	FT	Absent	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Asclepias_linaria	ASC	Asc	95	27	210	1110	265	2	Absent	Erect	Absent	CL	Present	Absent	Absent	Present	Absent	FT	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Asclepias_syriaca	ASC	Asc	50	36	260	420	540	2	Absent	Erect	Absent	CL	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Aspidosperma_australe	RAU	Asp	40	136	560	1110	130	20	Absent	Erect	Present	Absent	Absent	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Apo	Present	Absent	Absent	Absent	Absent	Uni	Absent	Absent	Absent	Absent	Absent
Aspidosperma_cylindrocarpon	RAU	Asp	65	49	780	1760	225	16	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Present	FT+LF	Absent	Thick	Present	Apo	Absent	Present	Absent	Absent	Absent	Multi	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Absent
Aspidosperma_desmanthum	RAU	Asp	100	14	NA	NA	430	40	Absent	Erect	Present	Absent	Absent	Absent	Absent	Absent	Present	LF	Absent	Thick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Aspidosperma_excelsum	RAU	Asp	80	23	890	1490	270	35	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Present	FT+LF	Absent	Thick	Present	Apo	Absent	Present	Present	Absent	Absent	Uni+Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Aspidosperma_spruceanum	RAU	Asp	130	14	800	1740	260	55	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Present	FT+LF	Absent	Thick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni+Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Baissea_leonensis	APO	Bai	190	11	490	900	270	3	Present	Climbing	Present	CL	Present	Present	Present	Absent	Present	T+LF	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Present	Absent
Beaumontia_grandiflora	APO	Apo	125	18	370	690	515	20	Present	Climbing	Present	CL	Present	Present	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Blepharodon_pictum	ASC	Asc	50	76	190	390	540	3	Present	Climbing+Erect	Present	Absent	Absent	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Present	Rays	PrismaticCrystals	Present	Absent
Callichilia_barteri	RAU	Tab	30	117	830	1200	1695	1	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Present	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Callichilia_subsessilis	RAU	Tab	25	95	1000	1520	495	3	Absent	Erect	Present	RM	Present	Absent	Absent	Absent	Present	LF	Present	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Various	Absent	Absent
Calotropis_gigantea	ASC	Asc	80	25	230	1060	208	4	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Present
Calotropis_procera	ASC	Asc	60	34	220	910	430	4	Absent	Erect	Absent	CL	Present	Absent	Absent	Present	Absent	FT	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Carissa_bispinosa	RAU	Car	NA	NA	NA	NA	NA	6	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	Thick	Present	Apo	Present	Present	Absent	Absent	Absent	Uni+Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Carissa_carandas	RAU	Car	40	59	660	1180	340	4	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	ThinThick	Present	Apo	Present	Absent	Absent	Absent	Absent	Uni+Multi	Absent	Absent	Absent	Absent	Absent
Carissa_spinarum	RAU	Car	50	66	530	1130	350	3	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	ThinThick	Present	Apo	Absent	Present	Absent	Absent	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Catharanthus_roseus	RAU	Vin	30	200	370	NA	410	1	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni+Multi	Absent	Absent	Absent	Absent	Present
Cerbera_manghas	RAU	Plu	NA	NA	NA	NA	NA	20	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Apo+Para	Absent	Absent	Present	Absent	Present	Uni+Multi	Absent	Absent	Absent	Absent	Absent
Cerbera_odollam	RAU	Plu	80	13	720	970	310	12	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Absent	Absent	Absent	Absent	Absent
Chilocarpus_suaveolens	RAU	Aly	150	13	600	1230	740	NA	Present	Climbing	Present	Absent	Absent	Absent	Present	Absent	Absent	T	Absent	Thin	Present	Apo+Para	Absent	Present	Absent	Present	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
