Species_name	Subfam	Tribe	DIAM	DEN	VEL	FL	RH	MPH	Clim	GF	SOL	CL	RM	MT	MUL	VD	T	FT	LF	GTT	SEP	VCT	AP	APOPARA	DIF	DIA	BAN	SCA	VAS	RW	PC	PCR	PCA	PCP	MI	CV	LA	CorSal	CorFun	CorCam	CorTub	CorRot	AntICH	AntIEE	AntFEx	AntICTH	CorCor	GynCor	AntASH	AntEES	AntAgg	PolMon	PolTet	PolPol	FruPD	FruPF
Aganosma_cymosa	APO	Apo	115	31	525	1070	500	10	Present	Climbing	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	T+LF	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Present	Present	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Amphineurion_marginatum	APO	Apo	95	20	380	760	745	8	Present	Climbing	Present	Absent	Present	RM	Present	Present	Present	Absent	Present	T+LF	Absent	Thin	Present	Apo+Para	Absent	Present	Present	Present	Absent	Multi	Present	Present	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Anodendron_parviflorum	APO	Apo	100	40	500	940	540	20	Present	Climbing	Absent	Present	Absent	CL	Present	Present	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Apocynum_cannabinum	APO	Apo	40	33	270	400	180	2	Absent	Erect	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	LF	Absent	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Present	Present	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Present	Absent	Present	Absent
Beaumontia_grandiflora	APO	Apo	125	18	370	690	515	20	Present	Climbing	Present	Present	Absent	CL	Present	Present	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Chonemorpha_fragrans	APO	Apo	150	27	460	850	875	30	Present	Climbing	Absent	Present	Absent	CL	Present	Present	Present	Absent	Present	T+LF	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Epigynum_ridleyi	APO	Apo	85	31	405	960	693	8	Present	Climbing	Present	Absent	Absent	Absent	Absent	Absent	Present	Present	Present	T+FT+LF	Absent	ThinThick	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Present	Present	Absent	Rays	PrismaticCrystals	Absent	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Ichnocarpus_frutescens	APO	Apo	140	15	NA	NA	685	10	Present	Climbing	Present	Present	Absent	CL	Present	Present	Present	Absent	Present	T+LF	Absent	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni+Multi	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Micrechites_rhombifolius	APO	Apo	240	6	485	850	790	40	Present	Climbing	Present	Present	Absent	CL	Present	Present	Present	Absent	Present	T+LF	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Present	Multi	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Micrechites_serpyllifolius	APO	Apo	150	13	600	1020	1380	20	Present	Climbing	Present	Present	Absent	CL	Present	Present	Present	Absent	Present	T+LF	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Present	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
